Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-0.2853654906506222,0.7811873770877391,False,11,31.478067868014715
Culture/Tradition,1,-1.0353220350990544,0.48895287897734346,False,2,25.595450631919192
Ethnic/Racial Prejudice,1,1.409484912173154,0.18216340131099645,False,14,-3.826526868926633
Ideology/Politics,-1,1.7513106652701587,0.08655824028442005,False,47,-5.6740360715476355
Other,-1,1.0058530849506149,0.4981423469838972,False,2,-12.62202245241222
Other,1,-2.9939331603747847,0.057948468474913625,False,4,59.48977070624999
Personality/Behavior,-1,1.1001281787612878,0.2912310921525085,False,14,-3.822837475153233
Personality/Behavior,1,1.8885208207306479,0.061825428679308715,False,102,3.697812727938802
Residential area,-1,1.232074221548397,0.22894798323118215,False,27,12.911841530629134
Values,1,3.08139406276462,0.004588329684806382,True,29,-38.34428517365133
