Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-2.8488105493115685,0.005193329251109035,True,117,130.40840383121943
Ideology/Politics,1,-inf,0.0,True,3,84.50345976681953
Institutions,-1,-4.610348506035431,0.00024949852838625816,True,18,134.48931231329632
Occupation/Social Status,-1,-2.3059233592791544,0.026246729413845274,True,42,222.43158949822325
Occupation/Social Status,0,-2.984486400207856,0.004579089259366159,True,46,312.53983913505914
Other,-1,-1.077846749157179,0.30914227870155203,False,10,598.335488666582
Personality/Behavior,-1,-1.0935127969863196,0.3240304233063412,False,6,534.7885716700478
Personality/Behavior,0,-2.6323216882908134,0.019697058246674077,True,15,145.86345351447386
Personality/Behavior,1,-2.4996356265581037,0.02952548973585416,True,12,675.1848872744836
Residential Area,-1,-2.5154824566859246,0.0169348246023625,True,34,459.98522275728055
