Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-1.7376604939102513,0.1101477698436815,False,12,106.519432132356
Culture/Tradition,1,-1.0896667867124843,0.472699641127045,False,2,128.37321558546543
Ethnic/Racial Prejudice,1,-3.2510717384480454,0.006315192987330278,True,14,81.04484238731375
Ideology/Politics,-1,-2.037651216467375,0.04723615017536598,True,48,58.704461238144866
Other,-1,-0.9965493962387614,0.5011002584749349,False,2,39.91826102961877
Other,1,-3.068377511552542,0.054631955123238686,False,4,36.123333007244284
Personality/Behavior,-1,-3.405166165529787,0.005219649434938903,True,13,48.231356316788926
Personality/Behavior,1,-4.587885648660137,1.2660258681736751e-05,True,104,48.12278851855322
Residential area,-1,-1.5854664482698495,0.12494937808007212,False,27,62.252367391683805
Values,1,-1.7013780790713866,0.09995305636300254,False,29,63.75401492149092
