Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-3.8642512441004824,0.000184100337851455,True,117,16.27426275683413
Ideology/Politics,1,-inf,0.0,True,3,30.223044963224975
Institutions,-1,-2.112351506357839,0.04889159631179157,True,19,14.707575746527846
Occupation/Social Status,-1,-2.537745481131472,0.014862964529091917,True,44,18.34704405748101
Occupation/Social Status,0,-2.415559184685551,0.019740953054712213,True,47,15.126426396720094
Other,-1,-1.2764911842783313,0.23373440197409567,False,10,22.01630857697821
Personality/Behavior,-1,-3.0225982437273036,0.029328921031155756,True,6,16.061627520285796
Personality/Behavior,0,-2.5321622005369804,0.023930563039090105,True,15,26.620977238128873
Personality/Behavior,1,-3.130152030083638,0.010687727592681825,True,11,35.275011538680204
Residential Area,-1,-2.078813113511458,0.045999741521772504,True,32,12.369955141319714
