Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-2.097359745006941,0.05987334753676513,False,12,141.74905865952672
Culture/Tradition,1,-1.051941023493308,0.48388860968563707,False,2,278.33744473331353
Ethnic/Racial Prejudice,1,-2.5673150713169886,0.023412553672090174,True,14,102.35971762629428
Ideology/Politics,-1,0.6005056280874418,0.5511166484914198,False,47,40.6946627550241
Other,-1,-0.9948991210556625,0.5016278082842016,False,2,76.81330425778505
Other,1,-3.0468129578923544,0.05556754687178806,False,4,55.22023645098021
Personality/Behavior,-1,-0.6844648998773476,0.5048554949373534,False,15,85.79308748326065
Personality/Behavior,1,-2.8186414502585446,0.0057938061118647495,True,103,113.18440548909332
Residential area,-1,-0.7149657510178071,0.4812541410252936,False,26,45.873250508223975
Values,1,0.17589199515337212,0.8616447321062727,False,29,10.66339093096616
