Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Appearance/Impression,-1,1.53671530647694,0.1374432333783403,False,25,-4.108353922917743
Athletic Ability,-1,1.7301762477769345,0.1272173726263381,False,8,-16.06922229791848
Culture/Tradition,-1,1.5969346663970447,0.1137472209509678,False,92,-2.4705732291837257
Drinking,-1,1.697720702195971,0.09957904425547322,False,32,-28.935338920893383
Drinking,1,2.583185031739577,0.02167478675834991,True,15,-36.256910346186224
Ideology/Politics,-1,2.41148709190514,0.023248323819669084,True,27,-47.89962189006235
Institutions,-1,2.6461024283843253,0.009561465248521526,True,94,-32.31115372780184
Personality/Behavior,-1,2.7010731420724094,0.11408297126984815,False,3,-78.92696467697738
Personality/Behavior,0,1.7505393083415277,0.08991763027479747,False,32,-38.50448945297103
Personality/Behavior,1,1.797815358409852,0.32315725447651034,False,2,-64.42639506064917
Residential area,-1,2.2486153650650436,0.04600143626919968,True,12,-14.07041309896597
