Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-3.390624659040585,0.0009640005680836188,True,113,92.26343201537179
Ideology/Politics,1,-1.0178763112622566e+16,9.651837144649787e-33,True,3,63.091492300086585
Institutions,-1,-2.6349762244072705,0.01737433894641519,True,18,138.89951870240532
Occupation/Social Status,-1,-1.6187040298965614,0.11317915139303243,False,42,105.81157871123963
Occupation/Social Status,0,-2.2480354945351144,0.029755423726646937,True,44,317.849529509366
Other,-1,-1.5012455529750708,0.16753417166464804,False,10,85.7948745700946
Personality/Behavior,-1,-0.9403916960581932,0.39019224853011475,False,6,91.60834308159627
Personality/Behavior,0,-3.181595946930483,0.006659875916592358,True,15,90.7588057141302
Personality/Behavior,1,-1.2821901016778294,0.2261389518345431,False,12,375.8990875930021
Residential Area,-1,-2.2609716808686775,0.030695057152192177,True,33,186.8742206214583
