Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,,,False,1,-29.97424126676571
Ability,1,2.082291320841505,0.10574844984247299,False,5,-4.501642029433768
Academic Field,-1,-1.7328266002113544,0.09778847395592905,False,22,5.005660161774076
Age,-1,1.5837584628359864,0.11908837101334933,False,55,8.14955921495709
Appearance/Impression,-1,,,False,1,61.10417625375465
Appearance/Impression,0,-2.0426277715749506,0.04580757770476737,True,57,17.603511722125408
Appearance/Impression,1,1.5239249857992514,0.14244618614321777,False,22,21.299070092634143
Emotion/Affection,-1,-2.670401317915713,0.04432716999456793,True,6,21.12113646455649
Emotion/Affection,0,,,False,1,65.57354341606546
Emotion/Affection,1,-1.4651507169712383,0.1611299735518372,False,18,12.572826201293369
Family,-1,-2.251101904349828,0.03578306898298772,True,21,21.280095023256386
Interests/Hobby,-1,-1.8413568649783667,0.0705980723538606,False,60,27.072423141237056
Marital Status,-1,1.8393011137462787,0.0739060065437576,False,38,1.3425543239076483
Occupation/Social Status,-1,1.082537815039605,0.28641562577655644,False,36,18.41251194967931
Other,-1,-1.046181014136384,0.31609372500592814,False,13,6.782692742405122
Personality/Behavior,0,-0.6069756577452203,0.5461958918136584,False,60,13.361224791525562
Personality/Behavior,1,-0.3587468970164777,0.7204979852463941,False,107,7.73839638367743
Physique,-1,0.12131756963515926,0.9044495369076794,False,25,7.614661730707225
Physique,0,-0.4496147875805379,0.6718087852062917,False,6,27.391708379008467
Physique,1,-0.9598900832147929,0.3621867415226624,False,10,23.691795357480974
Safety and Protection,-1,-1.0176763606242856,0.4944228752367894,False,2,53.081633434455924
Safety and Protection,1,-1.7656016404687151,0.10286971873026746,False,13,35.292823495980514
Sexuality,-1,-1.2242898984652701,0.24256716782939763,False,14,16.384741519415844
台女,1,-3.3198287409581733,0.00106033234003298,True,213,15.100784392492523
