Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.8452483961845647,0.12430582202032024,False,6,-12.223075126433345
Academic Field,-1.1188268888868342,0.27584910891148384,False,22,6.389002665627842
Age,1.1024157477365493,0.27517011465468777,False,55,7.228166208164446
Appearance/Impression,0.5981697101852582,0.5514377938671297,False,80,19.53117031009661
Emotion/Affection,-1.6509110748194464,0.11178367738490053,False,25,15.4336793416013
Family,-2.364101485737971,0.02830368254017481,True,21,23.241531293079515
Interests/Hobby,-1.9464029407409502,0.05637314827196425,False,60,28.444763970645315
Marital Status,1.4577953743476564,0.15333322765453974,False,38,1.2939352715704164
Occupation/Social Status,1.1831141043104731,0.2447382565935025,False,36,17.82660424413958
Other,-0.5760475003450787,0.5752279152306232,False,13,6.417342616231994
Personality/Behavior,-0.8226884500995671,0.4118653956530076,False,167,9.963106210964906
Physique,-0.7879216022160181,0.43538711987575596,False,41,14.689082842508672
Safety and Protection,-1.7480747254746811,0.10233580660712262,False,15,41.9357068137384
Sexuality,-0.7093573584205413,0.49063024641004815,False,14,17.85501723775136
台女,-3.7655874525478295,0.00021520672314191388,True,213,10.964596583893668
