Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,-0.5583691127581686,0.583472001415152,False,19,2.140338353691
Ability,0,-0.7353731983199352,0.5153863754117202,False,4,12.824358874618671
Academic Field,-1,0.8316525283977706,0.41542469620884526,False,21,6.823024956167815
Appearance/Impression,-1,-0.8369220311788739,0.40925400561820624,False,31,27.515123819465654
Appearance/Impression,0,-2.425390147965666,0.018799401921400782,True,53,21.318147078335286
Appearance/Impression,1,-0.8011981313120242,0.42495523339032293,False,99,29.38071480485474
Economics/Consumption,-1,-1.6977542390714697,0.09266412907944165,False,101,7.773095920210979
Emotion/Affection,-1,-1.0891333960878646,0.3557625042961276,False,4,4.3808613068522435
Emotion/Affection,1,-1.4211518453731717,0.17067794712445036,False,21,28.21639522108819
Family,-1,0.4829159772680979,0.6378457652350243,False,13,19.29816230047163
Interests/Hobby,-1,-1.7093269462078762,0.10945287826092566,False,15,35.950476134772316
Occupation/Social Status,-1,-1.642367761212969,0.11001066643929049,False,34,35.6967696885815
Other,-1,0.9998405445323789,0.34096660311674043,False,11,7.58127631331895
Personality/Behavior,-1,1.080241103782893,0.32153170848313406,False,7,-18.15492624115837
Personality/Behavior,0,-1.773904930850403,0.07879643835916406,False,113,19.23418463914315
Personality/Behavior,1,-1.1462027863263091,0.2783984061669349,False,11,32.05988198738553
Physique,-1,-1.4976082569546367,0.14208547468409136,False,41,17.470589746166358
Sexuality,-1,0.28648337804442103,0.7787037672188465,False,15,38.765140536382596
台男,1,3.313199044875801,0.001106342994382832,True,189,-2.3759507730028306
