Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,,,False,1,-0.7295331912898588
Ability,1,-2.7229578456285384,0.05282531263914646,False,5,1.15248100948717
Academic Field,-1,-1.084548835727559,0.29041621838517584,False,22,3.725694233194396
Age,-1,1.1088498951272552,0.2724090673735389,False,55,1.5845864538775025
Appearance/Impression,-1,,,False,1,1.5179003180348067
Appearance/Impression,0,-1.0524685266914857,0.29710493046209097,False,57,3.134445096610143
Appearance/Impression,1,1.3937391991314423,0.17797178222110868,False,22,4.41241308852976
Emotion/Affection,-1,-1.8731948851552065,0.11992030984993522,False,6,7.913709430709972
Emotion/Affection,0,,,False,1,20.126637429448326
Emotion/Affection,1,1.6684570847782785,0.11353691370877214,False,18,-5.9478120998391
Family,-1,-3.601486805796771,0.0017821763725488482,True,21,5.495525669889881
Interests/Hobby,-1,-2.6243704434018214,0.011035169189599956,True,60,10.491758864320264
Marital Status,-1,0.2667962030160194,0.7911074585490923,False,38,2.8562780022332857
Occupation/Social Status,-1,0.34817570798737263,0.7297360740451189,False,37,-3.64755617065227
Other,-1,0.061773407243469275,0.9517602455597687,False,13,0.12975769514689817
Personality/Behavior,0,-1.6959093812770252,0.0950865283788485,False,61,4.918610353829275
Personality/Behavior,1,-1.0030637103456268,0.31809313019752383,False,108,3.3938342689660983
Physique,-1,-1.465673012523272,0.15571716690683549,False,25,1.094959239312384
Physique,0,-0.05168570619977998,0.9607804723829045,False,6,1.3950968854118062
Physique,1,0.5616670885569238,0.5880544493583426,False,10,-1.8206968876425282
Safety and Protection,-1,-4.584571480771117,0.13671992324716306,False,2,7.979938570154682
Safety and Protection,1,-1.9482529900284573,0.07515619556296414,False,13,8.59899269896662
Sexuality,-1,-1.1652125163055593,0.264868660069167,False,14,49.143449846929
台女,1,-0.217419327727937,0.8280926681067631,False,211,8.311725353522386
