Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-2.4661881660300655,0.056795339410123866,False,6,1.6605738235593925
Academic Field,-1.254438433166969,0.2234659524285379,False,22,1.935503484654334
Age,-1.7412859675822727,0.08732823965292119,False,55,4.530127211159219
Appearance/Impression,-0.35268872185706424,0.7252610654705598,False,80,4.391232019479354
Emotion/Affection,0.2954107724908591,0.7702207699565474,False,25,2.342215398928257
Family,-5.982663414708457,7.524772252837899e-06,True,21,6.424601791741259
Interests/Hobby,-5.2094884335330205,2.5288452111336512e-06,True,60,15.310136881278183
Marital Status,-2.4901770312584093,0.017385503108106534,True,38,4.691796659670805
Occupation/Social Status,-0.643227014544931,0.5241531923469764,False,37,2.3278247959159115
Other,-2.0136182312527517,0.06703275712778699,False,13,10.158711957260792
Personality/Behavior,-3.521517566756351,0.0005525532531481917,True,169,8.819343789935322
Physique,-1.7761630025593085,0.08331336808023844,False,41,5.918570750100897
Safety and Protection,-2.980936442448881,0.009919232878155288,True,15,10.906408181004888
Sexuality,-2.0930606286527356,0.05651969368699338,False,14,25.626049803152327
台女,-4.684172321796819,5.071814822799101e-06,True,209,6.311649973582221
