Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,1.1404549371774408,0.2690446648665076,False,19,1.455603762549714
Ability,0,-1.4454238971142495,0.24410038336010215,False,4,4.872284141070965
Academic Field,-1,-0.7181944617323878,0.48094377132183186,False,21,3.302534423988805
Appearance/Impression,-1,-1.347383225867959,0.1876231490672748,False,32,13.361718073006543
Appearance/Impression,0,-2.144544917262871,0.03634303735493127,True,57,8.796424608579944
Appearance/Impression,1,-1.6405287845531855,0.104134206911815,False,98,4.166835756551063
Economics/Consumption,-1,0.38525462044834696,0.7008670197817839,False,101,0.7421631097955095
Emotion/Affection,-1,0.32330185942316286,0.7676918648969306,False,4,-0.9338782042860783
Emotion/Affection,1,-2.7957005575249703,0.01116267808109041,True,21,5.234485126332562
Family,-1,-1.6392259207095865,0.1270998331256748,False,13,5.427141750319641
Interests/Hobby,-1,-2.4886651001083324,0.02603023084589978,True,15,7.747766032094587
Occupation/Social Status,-1,-2.880315034428971,0.006928115506021569,True,34,20.21976411870234
Other,-1,-0.17062030143540263,0.8679250722914165,False,11,4.92872604772486
Personality/Behavior,-1,-2.891975200045144,0.02762223017504023,True,7,11.234358723802606
Personality/Behavior,0,-2.5104492191707926,0.013485851046539245,True,113,4.904261524832995
Personality/Behavior,1,0.7340234956217573,0.4782887593184847,False,12,0.9044329154160218
Physique,-1,-1.9371113216587157,0.059642546005313234,False,42,6.174813432284359
Sexuality,-1,-2.81950315353987,0.013646080934367838,True,15,18.795920819809055
台男,1,3.0354358349353676,0.002750046936908576,True,185,-4.1681594581182955
