Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,,,False,1,17.727032060263888
Ability,1,-1.838825513305848,0.13978872661519415,False,5,4.228279288228949
Academic Field,-1,-1.099628759307471,0.28394059042564135,False,22,9.957172308260889
Age,-1,1.8421669992067005,0.0711560782196326,False,53,11.650089024693463
Appearance/Impression,-1,,,False,1,168.24986583501567
Appearance/Impression,0,-0.09443983076412518,0.925096884728789,False,57,7.279899791706831
Appearance/Impression,1,0.1507679582585479,0.8815975985593232,False,22,15.463353059529183
Emotion/Affection,-1,-2.0657907549048975,0.09374009610864799,False,6,69.7000532166061
Emotion/Affection,0,,,False,1,40.80194432577933
Emotion/Affection,1,0.3961579946465044,0.6969166074769557,False,18,8.143337900726394
Family,-1,-2.040114584399349,0.054765749955052324,False,21,14.971317222079966
Interests/Hobby,-1,-3.2862131835291337,0.0017126772926202973,True,60,73.50594858898722
Marital Status,-1,1.1037254679548094,0.2768390039384772,False,38,0.324582067585873
Occupation/Social Status,-1,-0.4956334230313838,0.6232509562549993,False,36,20.29481495329105
Other,-1,-0.9161751212369553,0.3776193060223515,False,13,1.1808747840263238
Personality/Behavior,0,-1.9579069778749887,0.05497528560308596,False,60,42.71086262582857
Personality/Behavior,1,0.32025123203613454,0.7494024335802507,False,108,19.162305778823043
Physique,-1,1.1359356362779298,0.26719995009806097,False,25,10.565949871716658
Physique,0,-0.8530675442300307,0.4325773855744047,False,6,14.947039695742696
Physique,1,1.2030345022315596,0.2596539124205228,False,10,19.509562841267122
Safety and Protection,-1,0.10576741568619308,0.9329157813849118,False,2,-12.39763392761227
Safety and Protection,1,-1.3693262166503095,0.1959795975477151,False,13,56.984335082796086
Sexuality,-1,-1.1461097608843813,0.27409101273020264,False,13,85.60624783189306
台女,1,0.6457071539786987,0.5191739453712438,False,211,0.5495090106906635
