Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-2.928589432411725,0.03268619490799255,True,6,14.310217915909323
Academic Field,-3.063843965920428,0.005893404825105378,True,22,17.075981348507362
Age,-1.1709255364372972,0.24676993952834508,False,55,19.284743953986947
Appearance/Impression,0.23760853723196515,0.8127998771788636,False,80,14.607732226343936
Emotion/Affection,0.5504260424949109,0.5871143684950437,False,25,11.892391840077392
Family,-2.8024602616145913,0.010997072027584074,True,21,13.086207754581622
Interests/Hobby,-3.150430944272123,0.002560024815513241,True,60,70.42091518935176
Marital Status,1.1218058133109976,0.2691727072729165,False,38,1.221628186520605
Occupation/Social Status,-0.20272190584982902,0.8405262857214166,False,36,15.236600955340455
Other,-1.0216655576863023,0.3270951369601214,False,13,7.970544741958123
Personality/Behavior,-1.7296526172250026,0.0855511573370011,False,167,15.180723669322592
Physique,0.8896133174851193,0.37899281513784455,False,41,6.88465717972927
Safety and Protection,-1.8724350070980116,0.08218202710008275,False,15,40.94936428710157
Sexuality,-1.2081195132187383,0.2502715294417682,False,13,44.82879864490554
台女,-2.852528139506368,0.004775140089098561,True,209,2.1856664520013664
