Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,0.6613984396354262,0.5167344934542337,False,19,5.002897424581123
Ability,0,-1.54816418209509,0.2193356747967375,False,4,104.95278505218654
Academic Field,-1,-1.7093096763563744,0.10286583030126958,False,21,39.99070315117176
Appearance/Impression,-1,-1.4379042919909413,0.16048024058129895,False,32,43.85163853002293
Appearance/Impression,0,-2.2150104746598673,0.030919677113202294,True,56,61.80912190473583
Appearance/Impression,1,-3.0108050059728795,0.003329538384414855,True,97,36.68202872564771
Economics/Consumption,-1,-1.5627259031049598,0.12127630589254831,False,101,29.467420077859924
Emotion/Affection,-1,1.1379006410162975,0.3378137010511099,False,4,-16.005689920875867
Emotion/Affection,1,-0.6296410484547601,0.536056783188452,False,21,32.59915347133613
Family,-1,-0.2987531100423188,0.7702388527340094,False,13,3.4213120551717178
Interests/Hobby,-1,-2.1212463227541285,0.0522359053358623,False,15,40.0824418769422
Occupation/Social Status,-1,-1.2755674559430255,0.21101489110109953,False,34,61.94496072704156
Other,-1,-1.2786125358567006,0.2299099777685564,False,11,29.78351990813198
Personality/Behavior,-1,-1.755572070115141,0.1296871944891137,False,7,22.30080889351786
Personality/Behavior,0,-2.144722317071647,0.03411684859173151,True,114,46.70283637388261
Personality/Behavior,1,-2.6374011949149074,0.02310009295649693,True,12,148.00463271419565
Physique,-1,-1.9220760591756778,0.061397259566407555,False,43,46.43257159588369
Sexuality,-1,-2.4278052855358365,0.029266030748816303,True,15,70.97374406384294
台男,1,-1.3259079937072085,0.1864619986633399,False,191,16.606341751810284
